Java HotSpot(TM) Client VM (25.131-b11) for windows-x86 JRE (1.8.0_131-b11), built on Mar 15 2017 01:26:29 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8279028k(4669160k free), swap 16556180k(12224360k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.512: [GC (Allocation Failure) 0.512: [DefNew: 960K->63K(960K), 0.0014400 secs] 59819K->59340K(524224K), 0.0015134 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.515: [GC (Allocation Failure) 0.515: [DefNew: 959K->63K(960K), 0.0013607 secs] 60237K->59735K(524224K), 0.0014357 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.519: [GC (Allocation Failure) 0.519: [DefNew: 959K->64K(960K), 0.0018272 secs] 60631K->60138K(524224K), 0.0019433 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.521: [GC (Allocation Failure) 0.521: [DefNew: 960K->63K(960K), 0.0023309 secs] 61035K->60719K(524224K), 0.0024201 secs] [Times: user=0.00 sys=0.02, real=0.00 secs] 
0.525: [GC (Allocation Failure) 0.525: [DefNew: 959K->63K(960K), 0.0024028 secs] 61615K->61254K(524224K), 0.0025500 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.529: [GC (Allocation Failure) 0.529: [DefNew: 959K->63K(960K), 0.0018126 secs] 62151K->61855K(524224K), 0.0019014 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.533: [GC (Allocation Failure) 0.533: [DefNew: 959K->64K(960K), 0.0015391 secs] 62751K->62268K(524224K), 0.0016117 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.537: [GC (Allocation Failure) 0.537: [DefNew: 960K->64K(960K), 0.0020878 secs] 63165K->62768K(524224K), 0.0021699 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.540: [GC (Allocation Failure) 0.540: [DefNew: 960K->64K(960K), 0.0019161 secs] 63664K->63295K(524224K), 0.0019958 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.544: [GC (Allocation Failure) 0.544: [DefNew: 960K->64K(960K), 0.0019634 secs] 64191K->63730K(524224K), 0.0020420 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
